"site","east","north","AMEAN66","AMEAN67","AMEAN68","AMEAN69","AMEAN70","AMEAN71","AMEAN72","AMEAN73","AMEAN74","AMEAN75","AMEAN76","AMEAN77","AMEAN78","AMEAN79","AMEAN80","AMEAN81","AMEAN82","AMEAN83","AMEAN84","AMEAN85","AMEAN86","AMEAN87","AMEAN88","AMEAN89","AMEAN90","AMEAN91","AMEAN92","AMEAN93","AMEAN94","AMEAN95","AMEAN96"
"ADDLESTONE 1",505200,164600,92,103,68,47,47,45,52,41,36,31,33,24,20,17,11,15,9,8,15,12,10,13,7,9,11,6,NA,NA,NA,NA,NA
"BARNSLEY 8",434800,409400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6,11,6,6,5
"BARNSLEY 9",437000,405500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,18,19,19,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOLTON 24",371500,409200,132,108,75,77,78,74,149,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADFORD 6",416300,432900,202,151,122,110,90,118,172,191,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARDIFF 12",319300,177300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,19,12,10,11,16,19,18,14,11,9,11,12,12,9,11,9,19,11
"CHESTERFIELD 18",437200,370900,NA,NA,NA,NA,NA,138,107,72,93,64,66,68,84,79,50,65,54,44,28,36,32,44,37,35,34,30,14,11,12,15,14
"COATBRIDGE 5",271200,663800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,17,18,23,25,28,22,25,20,19,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREWE 9",370300,355000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15,19,18,14,14,11,15,11
"DIDCOT 1",449300,180800,38,38,41,40,32,34,63,62,31,36,32,23,14,14,13,14,10,6,7,7,7,6,22,11,10,11,9,8,8,10,9
"ELLAND 2",410900,420900,147,157,163,101,133,121,125,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENFIELD 14",533800,195800,134,126,115,90,119,115,111,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FARNWORTH 8",373900,406100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,38,34,50,33,19,30,21,21,16,17,16
"GLASGOW 51",253300,664100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,41,27,35,34,34,24,31,28,25,30,21,21,NA,NA,NA,NA,NA,NA
"HARTLEPOOL 12",450500,532600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,35,26,34,25,27,18,20,21,17,17,NA,NA,NA,NA,NA,NA,NA,NA
"HORWICH 1",363700,411800,56,54,108,60,44,45,53,48,39,27,41,25,16,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAMBETH 7",530400,175800,NA,NA,NA,NA,NA,NA,NA,NA,26,18,68,35,23,22,18,11,9,17,15,15,19,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEIGH 4",366200,399900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,21,20,27,17,24,17,22,21,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINCOLN 5",497400,371400,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,9,10,10,10,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL 16",334500,390800,162,109,76,67,44,62,80,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANCHESTER 11",383800,398100,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,31,26,26,21,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANCHESTER 15",387500,398500,NA,138,90,46,77,48,57,38,32,22,75,35,22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIDDLETON 3",387100,406300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,24,21,16,20,15,6,NA,NA,NA,NA,NA,NA,NA,NA
"NEWBURN 2",419900,567100,NA,NA,NA,NA,NA,NA,18,12,11,12,9,4,6,4,5,10,7,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NORWICH 7",623300,309900,NA,NA,NA,NA,NA,NA,NA,NA,12,17,14,15,10,12,8,10,7,6,6,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLDHAM 13",392000,405700,NA,NA,NA,NA,NA,NA,NA,NA,39,33,35,30,32,31,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PONTYPOOL 7",328200,200900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9,7,9,6,6,5
"PORTSMOUTH 10",465200,101900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,11,8,9,7,6,4
"SLOUGH 16",496200,181900,163,129,87,98,95,57,67,59,40,41,35,21,29,32,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEPNEY 5",536100,182400,45,47,51,48,39,35,30,30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOKE-ON-TRENT 20",388800,347500,33,30,42,31,31,34,26,22,15,18,12,10,11,14,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWINDON 2",414700,185800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,18,21,23,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WARRINGTON 17",360700,389000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,77,66,72,42,50,58,44,14,12,13,12,9,9,5,5,5
"WOMBWELL 2",440100,403000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,27,30,27,24,28,NA,NA,NA,17,13,11,10,11,12
"WOOLWICH 9",544100,176900,162,161,141,107,115,70,63,74,57,56,53,44,33,34,16,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABERDEEN 2",392900,805700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,23,33,20,18,22,22,14,19,17,12,11,11,12,12
"ABERDEEN 3",393100,806200,92,91,63,76,71,63,65,48,59,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABINGDON 1",449500,197300,19,20,25,17,18,23,19,16,12,17,17,12,15,14,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCRINGTON 1",376000,428600,75,80,NA,NA,NA,96,72,50,35,39,62,48,49,46,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCRINGTON 2",376500,429000,116,112,124,84,97,98,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCRINGTON 5",375800,428500,144,167,164,139,122,126,184,117,65,34,38,27,30,22,27,25,17,22,23,20,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACKWORTH 1",444000,416700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,41,32,31,27,19,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACTON 13",520800,182400,57,56,47,41,31,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACTON 15",520900,182500,42,41,37,30,30,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALFRETON 2",441300,355900,43,50,55,41,33,32,35,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALFRETON 3",442400,353800,NA,NA,NA,NA,NA,NA,NA,NA,23,22,21,17,21,19,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALFRETON 4",441700,355500,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,20,15,15,15,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLERTON BYWATER 1",441700,427900,32,29,32,29,26,22,15,14,14,23,21,14,16,15,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLERTON BYWATER 2",440400,429300,NA,NA,NA,NA,NA,NA,NA,27,25,19,25,20,21,19,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLOA 5",288800,693800,NA,NA,NA,NA,NA,NA,NA,37,27,21,25,22,24,21,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLOA 6",288500,693000,NA,NA,NA,NA,NA,NA,NA,NA,46,46,43,33,28,30,19,19,14,17,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALSAGER 1",379700,355500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12,13,12,11,9,11,10,9,8,7,NA,NA
"ALTON 1",472400,140600,34,38,38,28,39,27,33,21,22,41,61,54,50,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALTRINCHAM (TRAFFORD) 6",376600,487900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,7,15,10,15,9,6,5,2,2
"ALTRINCHAM (TRAFFORD) 7",376600,387800,NA,63,40,34,30,33,NA,NA,23,23,25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALVA 2",288100,697200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,6,8,8,6,4,5,5,3,4,4,3,2,NA,NA,NA
"ALVA 3",288000,697000,60,56,50,46,29,32,34,29,15,31,22,29,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANGMERING 1",506800,105100,48,43,26,44,32,29,32,29,23,35,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APPLEBY 1",368700,520800,51,51,47,45,38,41,42,30,27,38,28,44,46,67,25,25,17,17,12,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARBROATH 3",364500,741000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12,13,12,15,13,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMADALE 2",294500,668100,102,97,61,60,61,64,61,34,40,38,31,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMADALE 3",293800,668500,41,49,41,35,32,33,29,29,21,28,23,21,21,18,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARNOLD 1",458500,345300,85,95,84,73,69,56,55,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASHFORD 1",600800,142800,NA,NA,NA,NA,NA,NA,NA,NA,49,39,39,25,20,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASHFORD 2",599700,141700,209,225,237,141,133,118,116,82,112,76,78,69,66,70,49,58,36,40,29,34,29,28,24,22,25,23,18,16,14,15,14
"ASHFORD 3",600900,142600,152,175,156,144,148,134,132,98,79,79,80,79,85,76,59,64,42,52,35,46,43,42,31,27,25,24,20,17,16,16,15
"ASHINGTON 4",428400,587100,136,129,149,129,139,117,115,100,89,68,66,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASHTON-IN-MAKERFIELD 1",357600,399100,120,153,153,136,137,124,108,92,69,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASHTON-UNDER-LYNE 6",393900,399200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,16,15,14,14,12,12,10,18,18,20,12,11,10,11,9
"ASHTON-UNDER-LYNE 8",393900,399200,NA,NA,NA,NA,NA,51,44,36,32,33,33,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASKERN 3",456300,413500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,39,28,36,26,28,24,26,22,21,19,18,NA,NA,NA,NA,NA,NA,NA
"ASPLEY HEATH 1",492300,234500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13,11,8,8,8
"ATHERSTONE 4",430900,297800,NA,NA,35,11,21,23,29,21,22,20,25,21,19,18,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATHERTON 4",366900,402800,NA,27,28,28,29,25,33,21,15,20,17,12,12,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATHERTON 5",367800,403400,NA,NA,NA,NA,44,31,35,34,23,25,22,17,21,17,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AWSWORTH 1",448200,343800,41,49,47,42,40,35,36,28,23,22,19,16,21,14,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AYLESBURY 2",482100,213700,40,44,40,42,38,33,27,32,29,24,28,19,20,22,19,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AYLESBURY 3",482700,213500,NA,NA,NA,63,43,31,35,28,21,19,17,15,19,20,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AYLESBURY 4",481500,213100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,16,14,19,17,19,16,17,23,17,17,16,14,13,13,13
"AYLESBURY 9",482200,213400,NA,NA,92,70,56,84,73,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AYLESBURY 10",482500,213800,133,151,105,111,120,95,82,65,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AYLESFORD 2",572000,158400,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,32,24,27,28,16,22,16,16,13,15,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AYR BURGH 1",234600,621100,58,75,73,65,64,83,53,54,47,57,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AYR BURGH 2",235000,622400,28,26,26,22,20,26,23,23,16,21,19,16,17,15,14,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BACUP 1",386800,423000,NA,NA,46,30,39,36,37,26,14,20,20,14,17,16,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BACUP 4",387000,422800,52,60,50,41,48,50,58,36,18,31,29,24,24,19,21,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALLINGRY 1",318100,697300,65,70,47,37,52,49,40,34,26,30,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALLINGRY 2",317800,697800,81,67,61,55,51,54,49,36,28,32,27,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BANBURY 1",445400,240400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,22,21,20,24,12,9,12,11,11,10,14,9,11,11,9,7,6,9,8
"BANFF 1",369000,863900,144,136,116,115,105,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARKING 10",545600,183800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,42,34,27,15,23,NA,NA,NA,NA,NA,NA
"BARKING 13",545000,184500,36,40,45,35,43,40,26,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARKING 15",546000,183100,58,49,51,43,28,39,38,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARLASTON 1",389400,338500,86,82,71,59,59,47,51,43,27,32,34,28,30,24,17,24,19,18,18,15,15,18,21,12,13,19,13,14,NA,NA,NA
"BARNBY DUN 1",461800,409300,80,70,63,57,61,48,51,40,28,32,40,27,30,31,18,29,20,24,22,18,17,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARNES 1",520800,175500,59,56,52,49,46,38,41,34,25,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARNOLDSWICK 1",387900,446700,146,134,130,99,88,72,70,58,50,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARNOLDSWICK 2",387900,446700,173,176,100,101,115,83,86,83,74,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARNSLEY 10",434300,406800,80,73,64,67,69,67,59,43,32,36,27,19,49,47,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARNSLEY 11",436400,407900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,19,13,20,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARNSLEY 12",434200,406700,NA,NA,NA,NA,NA,NA,NA,28,17,23,22,18,18,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARROW-IN-FURNESS 2",320600,470300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,16,18,17,17,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARROW-IN-FURNESS 3",319700,469700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,45,44,40,41,39,40,31,32,34,16,11,10,NA,NA
"BARROW-IN-FURNESS 4",321400,469200,34,51,28,32,40,25,33,22,13,19,13,17,16,17,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARRY 1",311900,168500,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,13,13,16,19,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BASILDON 1",570700,188100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,31,22,25,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BASSALEG 1",328100,186800,57,55,49,39,42,39,35,18,14,25,20,19,20,23,17,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BATH 2",373700,164300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,24,25,26,19,12,11,10,10,11
"BATH 4",375500,165500,196,133,113,75,91,64,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BATH 5",373900,164900,152,154,165,103,113,108,93,65,41,33,38,22,34,30,20,21,17,22,18,17,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BATH 6",375400,165600,59,66,76,46,45,39,31,22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BATHGATE 4",297300,668800,41,60,50,35,44,31,29,22,19,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BATLEY 1",424300,424300,NA,NA,NA,NA,NA,NA,NA,NA,53,39,38,27,27,25,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BATLEY 2",424300,424200,NA,NA,164,84,59,50,57,44,36,41,33,26,26,21,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BATTERSEA 4",527800,175500,NA,NA,120,76,77,53,46,43,33,39,34,32,27,26,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEDDINGTON & WALLINGTON 2",528800,163600,NA,NA,NA,NA,NA,NA,56,36,28,28,27,22,23,21,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEDFORD 4",507000,251300,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,14,17,15,11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEDFORD 5",504100,249600,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,25,18,22,20,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEDFORD 6",504700,250400,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,25,17,22,19,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEDFORD 7",505800,248700,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,12,15,13,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEDFORD 10",505600,248600,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,33,23,27,20,15,19,16,17,15,13,14,13,14,15,14,14,11,11,7,NA,NA
"BEDLINGTON 5",427400,582400,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,33,22,26,21,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEDLINGTON 7",426600,582100,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,35,29,25,35,25,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEDWELLTY 2",315400,200300,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,39,22,26,26,17,32,NA,NA,12,15,15,16,11,NA,NA,NA,NA,NA,NA,NA,NA
"BEDWORTH 4",435900,286800,52,48,38,45,33,26,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEESTON & STAPLEFORD 1",452600,337000,38,39,35,29,21,19,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEESTON & STAPLEFORD 2",449000,336800,113,113,112,95,83,73,57,48,37,27,36,27,33,10,NA,28,13,16,17,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEESTON & STAPLEFORD 3",450800,336600,123,119,153,53,86,93,90,63,59,51,59,47,23,17,18,20,14,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BELPER 1",434900,347500,77,81,76,77,55,44,54,42,37,33,35,27,29,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENTLEY-WITH-ARKSEY 3",456500,405800,101,101,98,87,72,56,52,43,39,40,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BERMONDSEY 3",533800,179200,78,82,81,66,56,45,44,36,32,32,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BERMONDSEY 7",533700,179000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,26,28,25,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEXLEYHEATH 4",547800,175800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,40,33,10,38,NA,18,16,13,14,17,19,15,16,14,13,13,12,12,10
"BICESTER 1",458100,222600,90,99,49,106,91,74,38,27,38,37,32,29,27,33,17,17,14,16,14,14,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIDDULPH 2",388400,357700,NA,NA,185,157,121,64,67,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BILLINGHAM 23",446600,524700,NA,NA,69,35,33,31,30,28,17,19,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BILLINGHAM 27",446200,522600,NA,NA,NA,37,21,22,20,19,15,17,14,13,14,12,9,15,11,12,13,10,10,8,9,8,10,12,8,7,6,9,5
"BILSTON 18",394400,296300,203,191,152,145,139,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BINGLEY 4",410600,438900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,41,35,32,15,26,21,19,12,NA,NA,NA,NA,NA,NA,NA,NA
"BIRCOTES 1",462700,392000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,33,44,43,33,27,29,26,17,11,9,10,10
