 ,SAN FRANCISCO,NAPA,SAN DIEGO ,Fresno,Sant Cruz,Death Valley,OJAI,Barstow,LA,CedarPark,Redding,Eureka,Oxnard,Bakersfield,PasoRobles,SanJose,Sacramento,MendocinoForest
20120507,283,300,200,322,278,361,306,278,194,278,317,150,200,311,333,311,328,600
20120508,244,289,206,339,239,372,333,289,183,289,333,150,211,339,344,311,344,139
20120509,178,233,206,367,222,406,344,300,217,283,322,133,228,356,356,244,328,72
20120510,250,272,178,322,206,433,261,339,217,239,294,128,200,333,317,283,300,456
20120511,256,278,200,328,172,428,250,339,200,256,328,144,200,322,317,322,333,339
20120512,194,250,206,350,183,433,261,333,189,261,350,161,172,344,344,272,344,544
20120513,189,194,206,356,167,428,278,350,183,256,344,144,178,361,233,233,256,456
20120514,189,211,217,283,222,450,289,361,211,228,256,167,211,289,239,222,239,311
20120515,161,206,206,289,233,444,300,361,200,278,294,144,233,283,306,217,289,300
20120516,150,200,222,333,233,406,333,317,228,278,311,122,222,322,350,211,300,250
20120517,161,222,183,344,233,444,289,372,211,272,272,139,206,350,300,211,261,178
20120518,194,239,194,294,222,467,272,367,194,256,300,133,211,272,289,256,300,206
20120519,200,239,206,328,233,394,294,300,200,250,311,150,211,317,328,261,322,211
20120520,222,267,217,350,261,406,361,328,206,261,339,161,211,344,367,278,344,250
20120521,183,228,211,339,244,444,350,361,200,289,294,178,217,344,328,239,283,189
20120522,178,244,200,317,283,472,339,383,211,294,289,167,233,306,322,228,300,150
20120523,178,256,183,294,250,456,339,361,217,294,267,144,228,289,289,222,278,144
20120524,172,239,194,294,222,417,267,300,211,294,244,133,217,278,294,206,272,111
20120525,167,194,178,206,178,400,222,322,183,317,211,128,189,217,189,183,211,61
20120526,156,206,189,244,183,344,228,217,178,322,250,122,183,244,189,183,250,83
20120527,161,206,200,272,233,322,278,206,194,322,250,144,200,261,278,194,261,161
20120528,172,206,206,306,256,344,317,267,222,311,267,139,239,289,294,194,244,183
20120529,183,228,200,311,233,389,300,317,233,306,294,144,211,306,283,222,289,217
20120530,194,256,200,339,233,417,300,339,194,283,361,156,206,317,333,261,339,244
20120531,256,289,206,372,244,444,367,344,206,306,389,167,217,356,383,300,356,278
20120601,206,272,189,400,228,483,322,389,222,322,383,161,217,383,378,289,378,267
20120602,194,272,183,356,239,489,272,400,206,294,361,161,200,356,339,250,328,189
20120603,200,256,189,339,244,467,278,400,211,261,317,156,206,317,344,256,328,206
20120604,161,189,189,300,183,467,189,383,194,300,228,194,206,317,267,178,206,78
20120605,172,217,206,233,217,444,261,383,217,283,222,144,217,228,228,200,228,67
20120606,172,244,222,272,250,367,322,250,222,239,283,144,250,256,278,228,272,167
20120607,194,267,200,322,261,372,339,300,233,256,278,156,239,306,322,233,300,178
20120608,178,256,194,322,256,422,289,344,233,272,261,156,222,306,311,222,294,144
20120609,211,300,183,294,283,450,256,356,206,294,267,150,211,272,311,261,272,178
20120610,294,339,189,339,317,417,289,356,217,300,328,167,222,322,328,322,328,239
20120611,267,322,194,372,261,389,300,356,206,267,356,156,217,356,367,344,361,250
20120612,233,328,194,389,228,439,317,361,189,261,350,167,206,389,367,294,367,222
20120613,189,233,183,350,222,467,272,389,206,294,367,156,200,344,283,261,356,250
20120614,183,250,189,367,200,450,261,378,206,306,367,144,211,356,272,256,361,228
20120615,233,278,189,361,217,461,256,367,211,283,367,150,206,344,272,300,367,278
20120616,306,367,200,406,256,456,306,361,206,283,400,172,211,389,417,367,394,306
20120617,228,261,222,428,194,478,344,367,206,283,400,144,217,422,350,300,378,294
20120618,217,200,217,383,194,483,283,394,189,283,339,150,194,389,344,256,300,244
20120619,233,256,211,344,200,489,261,378,206,300,333,144,206,367,278,272,333,244
20120620,261,311,200,372,228,467,278,372,206,317,372,150,211,356,361,344,367,272
20120621,156,206,211,367,228,478,272,394,200,328,344,144,200,378,256,194,233,244
20120622,206,200,217,311,200,478,278,383,211,339,189,172,206,322,256,228,228,111
