"ozone","temp","wind","date"
66.10756,3.2625,6.64166666666667,2017-11-05
57.32648,5.51666666666667,8.04583333333333,2017-11-06
57.42627,6.09166666666667,5.98333333333333,2017-11-07
52.08777,4.71666666666667,6.9625,2017-11-08
66.5566,7.30416666666667,6.71666666666667,2017-11-09
77.58284,4.4875,9.1125,2017-11-10
78.03187,3.22916666666667,6.26666666666667,2017-11-11
66.95574,4.05,8.15,2017-11-12
55.97939,3.3125,6.22916666666667,2017-11-13
72.84305,4.85416666666667,4.4875,2017-11-14
65.50885,3.80416666666667,5.37916666666667,2017-11-15
70.548,5.77916666666667,7.25833333333333,2017-11-16
71.8452,4.32083333333333,7.52916666666667,2017-11-17
72.4938,3.54166666666667,7.65,2017-11-18
60.32003,2.79583333333333,4.60833333333333,2017-11-19
70.7143,5.46666666666667,5.7875,2017-11-20
68.95144,8.1375,6.14583333333333,2017-11-21
48.99444,5.4125,3.43333333333333,2017-11-22
53.8839,1.9875,5.375,2017-11-23
57.72562,0.5375,6.69166666666667,2017-11-24
69.15101,2.1125,9.33333333333333,2017-11-25
72.59359,3.02083333333333,7.78333333333333,2017-11-26
69.50025,4.02916666666667,7.92916666666667,2017-11-27
84.11876,3.925,7.92916666666667,2017-11-28
85.08334,3.02083333333333,8.19583333333333,2017-11-29
81.42456,2.525,8.62083333333333,2017-11-30
