amean_y1,amean_y2,amean_y3,amean_y4,amean_y5,amean_y6,amean_y7,amean_y8,amean_y9,amean_y10,amean_y11,amean_y12,amean_y13,amean_y14,amean_y15,amean_y16,k0,k1,k2,k3,ward91,cquint,region91,lungc3064,cpm3064,allmort3064,lungc65pls,cpm65pls,allmort65pls,pop3064,pop65pls,exp_lungc3064,exp_cpm_3064,exp_all_3064,exp_lungc65pls,exp_cpm_65pls,exp_all_65pls,RR_lungc3064,RR_cpm3064,RR_allmort3064,RR_lungc65pls,RR_cpm65pls,RR_allmort65pls,cscore                                                                                                                                                                    
99,265,146,142,136,96,83,56,53,45,43,36,36,34,19,19,163,93,44,27,03BLFP,4,8,17,92,167,27,433,710,6254,2473,12.971,59.609,130.792,30.713,348.141,563.549,1.311,1.543,1.277,0.879,1.244,1.26,0.362
130,147,130,119,67,67,60,46,39,35,41,35,34,37,20,18,132,60,38,27,03BLFQ,2,8,5,69,126,16,305,441,7193,2023,14.919,68.559,150.43,25.124,284.792,461.003,0.335,1.006,0.838,0.637,1.071,0.957,-2.07
134,145,102,108,96,71,81,69,60,52,36,27,53,52,30,30,122,79,44,41,03BLFW,3,8,10,47,93,13,164,256,4592,1099,9.524,43.768,96.034,13.649,154.714,250.441,1.05,1.074,0.968,0.952,1.06,1.022,-0.547
186,172,144,117,110,83,66,71,53,43,47,25,34,41,29,35,155,83,42,35,03BMFK,4,8,6,51,103,30,232,382,4095,1476,8.493,39.031,85.64,18.331,207.787,336.352,0.706,1.307,1.203,1.637,1.117,1.136,2.326
118,122,106,112,100,87,68,55,46,41,27,,19,32,35,24,115,78,38,28,03BMFL,2,8,12,37,94,26,279,427,6417,1824,13.309,61.163,134.201,22.653,256.777,415.655,0.902,0.605,0.7,1.148,1.087,1.027,-1.715
69,67,62,55,61,37,34,37,30,16,12,17,22,18,14,21,63,42,19,19,03BNFC,5,8,17,71,138,36,404,657,4550,2038,9.437,43.368,95.156,25.31,286.903,464.421,1.801,1.637,1.45,1.422,1.408,1.415,4.092
179,218,160,128,102,77,71,60,61,58,56,45,35,28,17,24,171,78,55,26,03BNFE,5,8,31,112,209,39,388,598,4325,2067,8.97,41.223,90.45,25.671,290.986,471.03,3.456,2.717,2.311,1.519,1.333,1.27,8.79
101,67,126,102,118,63,52,61,39,20,27,29,26,20,15,21,99,74,29,21,03BNFP,5,8,10,56,130,28,377,625,4705,2194,9.759,44.845,98.397,27.248,308.864,499.971,1.025,1.249,1.321,1.028,1.221,1.25,2.835
180,183,122,112,111,83,71,63,53,26,46,32,28,23,17,23,149,82,39,23,03BNFU,5,8,25,100,169,46,379,593,4419,2011,9.165,42.119,92.416,24.975,283.102,458.268,2.728,2.374,1.829,1.842,1.339,1.294,9.538
153,146,117,87,105,80,80,65,55,33,34,26,29,26,19,26,126,83,37,25,03BNFW,5,8,19,92,192,22,283,445,2674,858,5.546,25.487,55.922,10.656,120.787,195.522,3.426,3.61,3.433,2.065,2.343,2.276,12.316
