X,Y
-73.6350,45.4350
-73.6350,45.4450
-73.6350,45.4550
-73.6350,45.4650
-73.6350,45.4750
-73.6350,45.4850
-73.6350,45.4950
-73.6350,45.5050
-73.6350,45.5150
-73.6350,45.5250
-73.6350,45.5350
-73.6350,45.5450
-73.6350,45.5550
-73.6350,45.5650
-73.6350,45.5750
-73.6350,45.5850
-73.6350,45.5950
-73.6350,45.6050
-73.6350,45.6150
-73.6250,45.4150
-73.6250,45.4250
-73.6250,45.4350
-73.6250,45.4450
-73.6250,45.4550
-73.6250,45.4650
-73.6250,45.4750
-73.6250,45.4850
-73.6250,45.4950
-73.6250,45.5050
-73.6250,45.5150
-73.6250,45.5250
-73.6250,45.5350
-73.6250,45.5450
-73.6250,45.5550
-73.6250,45.5650
-73.6250,45.5750
-73.6250,45.5850
-73.6250,45.5950
-73.6250,45.6050
-73.6250,45.6150
-73.6250,45.6250
-73.6150,45.4150
-73.6150,45.4250
-73.6150,45.4350
-73.6150,45.4450
-73.6150,45.4550
-73.6150,45.4650
-73.6150,45.4750
-73.6150,45.4850
-73.6150,45.4950
-73.6150,45.5050
-73.6150,45.5150
-73.6150,45.5250
-73.6150,45.5350
-73.6150,45.5450
-73.6150,45.5550
-73.6150,45.5650
-73.6150,45.5750
-73.6150,45.5850
-73.6150,45.5950
-73.6150,45.6050
-73.6150,45.6150
-73.6150,45.6250
-73.6150,45.6350
-73.6050,45.4150
-73.6050,45.4250
-73.6050,45.4350
-73.6050,45.4450
-73.6050,45.4550
-73.6050,45.4650
-73.6050,45.4750
-73.6050,45.4850
-73.6050,45.4950
-73.6050,45.5050
-73.6050,45.5150
-73.6050,45.5250
-73.6050,45.5350
-73.6050,45.5450
-73.6050,45.5550
-73.6050,45.5650
-73.6050,45.5750
-73.6050,45.5850
-73.6050,45.5950
-73.6050,45.6050
-73.6050,45.6150
-73.6050,45.6250
-73.6050,45.6350
-73.6050,45.6450
-73.5950,45.4250
-73.5950,45.4350
-73.5950,45.4450
-73.5950,45.4550
-73.5950,45.4650
-73.5950,45.4750
-73.5950,45.4850
-73.5950,45.4950
-73.5950,45.5050
-73.5950,45.5150
-73.5950,45.5250
-73.5950,45.5350
-73.5950,45.5450
-73.5950,45.5550
-73.5950,45.5650
-73.5950,45.5750
-73.5950,45.5850
-73.5950,45.5950
-73.5950,45.6050
-73.5950,45.6150
-73.5950,45.6250
-73.5950,45.6350
-73.5950,45.6450
-73.5850,45.4350
-73.5850,45.4450
-73.5850,45.4550
-73.5850,45.4650
-73.5850,45.4750
-73.5850,45.4850
-73.5850,45.4950
-73.5850,45.5050
-73.5850,45.5150
-73.5850,45.5250
-73.5850,45.5350
-73.5850,45.5450
-73.5850,45.5550
-73.5850,45.5650
-73.5850,45.5750
-73.5850,45.5850
-73.5850,45.5950
-73.5850,45.6050
-73.5850,45.6150
-73.5850,45.6250
-73.5850,45.6350
-73.5850,45.6450
-73.5850,45.6550
-73.5750,45.4450
-73.5750,45.4550
-73.5750,45.4650
-73.5750,45.4750
-73.5750,45.4850
-73.5750,45.4950
-73.5750,45.5050
-73.5750,45.5150
-73.5750,45.5250
-73.5750,45.5350
-73.5750,45.5450
-73.5750,45.5550
-73.5750,45.5650
-73.5750,45.5750
-73.5750,45.5850
-73.5750,45.5950
-73.5750,45.6050
-73.5750,45.6150
-73.5750,45.6250
-73.5750,45.6350
-73.5750,45.6450
-73.5750,45.6550
-73.5650,45.4550
-73.5650,45.4650
-73.5650,45.4750
-73.5650,45.4850
-73.5650,45.4950
-73.5650,45.5050
-73.5650,45.5150
-73.5650,45.5250
-73.5650,45.5350
-73.5650,45.5450
-73.5650,45.5550
-73.5650,45.5650
-73.5650,45.5750
-73.5650,45.5850
-73.5650,45.5950
-73.5650,45.6050
-73.5650,45.6150
-73.5650,45.6250
-73.5650,45.6350
-73.5650,45.6450
-73.5650,45.6550
-73.5650,45.6650
-73.5550,45.4750
-73.5550,45.4850
-73.5550,45.4950
-73.5550,45.5050
-73.5550,45.5150
-73.5550,45.5250
-73.5550,45.5350
-73.5550,45.5450
-73.5550,45.5550
-73.5550,45.5650
